City,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed
Kerema,-7.96,145.78,78.12,81,81,1.83
Port Hawkesbury,45.62,-61.35,37.42,59,1,11.41
Yabassi,4.46,9.97,80.6,83,75,5.82
Aripuanã,-9.17,-60.63,79.02,80,98,2.17
Gamba,-2.65,10.0,79.7,84,98,5.01
Gari,59.43,62.35,35.74,85,36,10.31
Olutanga,7.31,122.85,81.59,76,1,6.33
Vila,42.03,-8.16,50.9,93,3,2.24
Santa Cruz de la Sierra,-17.8,-63.17,86.0,28,5,10.29
Iranshahr,27.2,60.68,75.2,47,100,3.85
São Miguel do Araguaia,-13.28,-50.16,74.57,86,100,2.33
Waunakee,43.19,-89.46,59.16,33,20,12.75
Jaciara,-15.97,-54.97,73.22,84,100,1.12
Skjervøy,70.03,20.97,39.94,89,100,18.63
Codajás,-3.84,-62.06,81.45,85,95,1.03
Lakota,5.85,-5.69,76.14,89,99,4.38
Palmira,3.54,-76.3,75.2,73,75,9.17
Pakokku,21.33,95.1,81.82,45,2,2.3
Turukhansk,65.82,87.98,37.63,79,100,15.48
Opuwo,-18.06,13.84,72.64,38,89,4.47
Ternate,0.8,127.4,79.86,80,51,3.13
Adrar,20.5,-10.07,74.03,40,100,9.93
Cullera,39.17,-0.25,59.9,92,100,3.67
College,64.86,-147.8,40.71,93,90,5.82
Cehegín,38.09,-1.8,63.0,91,100,3.98
Nome,64.5,-165.41,33.89,100,90,6.93
Soanierana Ivongo,-16.92,49.58,73.85,86,24,4.59
Prince Rupert,54.32,-130.32,51.8,58,1,6.93
Isla Mujeres,21.23,-86.73,86.0,70,75,12.75
Am Timan,11.03,20.28,83.35,11,6,1.41
Iwanai,42.97,140.51,45.66,77,100,4.21
Plettenberg Bay,-34.05,23.37,71.33,33,0,5.73
Huarmey,-10.07,-78.15,77.97,63,18,9.91
Punta Alta,-38.88,-62.07,76.59,33,75,16.71
Tongliao,43.61,122.27,57.69,33,100,14.12
Virginia Beach,36.85,-75.98,58.8,47,20,16.11
Codrington,-38.27,141.97,50.97,84,72,8.48
Hualmay,-11.1,-77.61,75.51,66,27,9.89
Sabang,5.89,95.32,82.44,72,76,3.29
Yar-Sale,66.83,70.83,34.52,98,99,9.15
Siavonga,-16.54,28.71,76.87,50,50,4.18
Praia da Vitória,38.73,-27.07,62.6,88,40,17.31
Malacky,48.44,17.02,61.61,55,100,2.91
Lavrentiya,65.58,-171.0,18.59,95,100,9.57
Zelenoborskiy,66.84,32.36,28.04,97,1,6.64
Verkhnyaya Inta,65.98,60.31,30.63,97,100,3.62
Pontianak,-0.03,109.33,74.59,93,100,2.75
Vershino-Darasunskiy,52.35,115.52,15.17,85,57,9.53
Bedēsa,8.9,40.78,63.79,59,100,1.59
Pedersore,63.65,22.68,34.03,90,40,8.05
Kāramadai,11.24,76.96,80.6,83,20,3.36
Madang,-5.22,145.8,77.81,85,100,6.71
Mayo,38.89,-76.51,52.47,47,20,14.52
Xingcheng,40.62,120.72,54.12,50,100,8.7
Namatanai,-3.67,152.43,81.72,77,95,4.21
